id,requester_id,addressee_id,status,created_at,updated_at
208889db-9b34-49b6-b2b7-66e0e567058c,cd5b2bc1-b928-4c34-96ed-9a2eb87501ad,8ab3754c-aa10-4182-b46a-02c04d42c8f3,accepted,2026-05-03 07:39:43.826923,2026-05-03 07:40:07.380175
6722b52f-8fce-4d8a-8fb7-61d72f7ef514,cd5b2bc1-b928-4c34-96ed-9a2eb87501ad,ffc329cd-2717-4402-9888-ee0c38910163,accepted,2026-05-03 08:51:50.391380,2026-05-03 08:52:03.904415
2ee291df-1fae-4a7d-8820-5217e087759c,cd5b2bc1-b928-4c34-96ed-9a2eb87501ad,fbf5eeb4-2d57-4506-ab97-5638ef221f5e,pending,2026-05-03 08:54:16.934422,2026-05-03 08:54:16.934422
